subject,fitzpatrick,source,condition,codec,kbps,pix_fmt,lossless,detect_rate,window,method,ref_bpm,est_bpm,quality,confident,w_green,w_chrom,w_pos
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,5,trace_v2,75.45908678144175,75.69655630586848,0.4209117947625096,True,0.22129494217116966,0.3094723534492378,0.4692327043795926
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,5,trace,75.45908678144175,75.69655630586848,0.4209117947625096,True,0.22129494217116966,0.3094723534492378,0.4692327043795926
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,5,pos_mask,75.45908678144175,75.51156707294474,,,,,
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,5,pos_wiener,75.45908678144175,75.86746121844786,,,,,
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,6,green,74.97152941070333,51.28664667052009,0.3586179934936873,,,,
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,6,ica,74.97152941070333,51.250120578631204,0.33066696533067735,,,,
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,6,chrom,74.97152941070333,50.55422260501275,0.40674912137445485,,,,
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,6,pos,74.97152941070333,74.72040624801856,0.5256979631932562,,,,
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,6,trace_v1,74.97152941070333,51.00551438250463,0.3396105338440156,True,0.5593781500130302,0.030813472927568433,0.40980837705940154
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,6,trace_v2,74.97152941070333,75.7583931634046,0.41306588326784904,True,0.23123714137192877,0.28619614199279486,0.4825667166352762
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,6,trace,74.97152941070333,75.7583931634046,0.41306588326784904,True,0.23123714137192877,0.28619614199279486,0.4825667166352762
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,6,pos_mask,74.97152941070333,75.88504539011939,,,,,
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,6,pos_wiener,74.97152941070333,74.72078551289954,,,,,
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,7,green,75.20207736668719,53.59607665481688,0.4207540169748424,,,,
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,7,ica,75.20207736668719,53.68869412085791,0.4422873675753206,,,,
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,7,chrom,75.20207736668719,75.61935506598661,0.3604364706873239,,,,
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,7,pos,75.20207736668719,75.59898969548065,0.42904210054094855,,,,
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,7,trace_v1,75.20207736668719,75.54523546060128,0.3397085130696607,True,0.4498499381786475,0.20275410694056195,0.3473959548807906
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,7,trace_v2,75.20207736668719,75.71915629915027,0.4084195117321944,True,0.3024553293362383,0.32886074377060576,0.36868392689315593
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,7,trace,75.20207736668719,75.71915629915027,0.4084195117321944,True,0.3024553293362383,0.32886074377060576,0.36868392689315593
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,7,pos_mask,75.20207736668719,75.72815905757669,,,,,
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,7,pos_wiener,75.20207736668719,75.5990426406712,,,,,
s1_3100,1,simulated,lossless_yuv420,h264,,yuv420p,True,1.0,0,green,78.66718410470301,53.20793379116867,0.3706888664988911,,,,
s1_3100,1,simulated,lossless_yuv420,h264,,yuv420p,True,1.0,0,ica,78.66718410470301,52.700789146812056,0.3850163805297339,,,,
s1_3100,1,simulated,lossless_yuv420,h264,,yuv420p,True,1.0,0,chrom,78.66718410470301,78.3558952325326,0.4283758512460262,,,,
s1_3100,1,simulated,lossless_yuv420,h264,,yuv420p,True,1.0,0,pos,78.66718410470301,78.03784773749483,0.503733386389432,,,,
s1_3100,1,simulated,lossless_yuv420,h264,,yuv420p,True,1.0,0,trace_v1,78.66718410470301,78.13397166840105,0.30011799484141743,True,0.40432724778111007,0.02494553348098911,0.5707272187379008
s1_3100,1,simulated,lossless_yuv420,h264,,yuv420p,True,1.0,0,trace_v2,78.66718410470301,78.72040426990493,0.5089684026522295,True,0.1854312839821406,0.38452130221316483,0.43004741380469447
s1_3100,1,simulated,lossless_yuv420,h264,,yuv420p,True,1.0,0,trace,78.66718410470301,78.72040426990493,0.5089684026522295,True,0.1854312839821406,0.38452130221316483,0.43004741380469447
s1_3100,1,simulated,lossless_yuv420,h264,,yuv420p,True,1.0,0,pos_mask,78.66718410470301,78.54145735087388,,,,,
s1_3100,1,simulated,lossless_yuv420,h264,,yuv420p,True,1.0,0,pos_wiener,78.66718410470301,78.03794625668411,,,,,
s1_3100,1,simulated,lossless_yuv420,h264,,yuv420p,True,1.0,1,green,79.47932984697168,50.99524448456104,0.4682600624825798,,,,
s1_3100,1,simulated,lossless_yuv420,h264,,yuv420p,True,1.0,1,ica,79.47932984697168,51.10299260794582,0.5431348922537325,,,,
s1_3100,1,simulated,lossless_yuv420,h264,,yuv420p,True,1.0,1,chrom,79.47932984697168,79.13494149105532,0.42792575460414595,,,,
